KEY,Vietnamese,English
ArmorBreak_level3_des,Mỗi đòn đánh đồng thời giảm [ReducePhysicDefOnGetNormalAttackEffect_param4_2]% Sức Tấn Công của kẻ địch,Enemy’s ATK is now also reduced by [ReducePhysicDefOnGetNormalAttackEffect_param4_2]%
Immortal,Đao Sơn Hỏa Hải,Immortal
Immortal_des,"Ngay khi chuẩn bị chết, Tiểu Chiêu dùng bí thuật Tây Vực khiến bản thân bất tử [ImmuneEffect_duration_0]s, tăng [ImmuneEffect_param1_0]% tốc độ đánh trong thời gian đó ( kích hoạt 1 lần duy nhất )","Just before dying, grants an Immortal effect lasting [ImmuneEffect_duration_0] s, during which time ATK speed increases by [ImmuneEffect_param1_0]% (can only be cast once)"
Immortal_level2_des,Tăng thời gian tác dụng lên [ImmuneEffect_duration_1]s,Effect duration increases by [ImmuneEffect_duration_1] s
Immortal_level3_des,"Trong thời gian đó, kháng toàn bộ hiệu ứng bất lợi","While Immortal is in effect, Hero is immune to all negative statuses"
MonsterLifeLeach,Tinh Hỏa Liêu Nguyên,Monster Lifeleech
MonsterLifeLeach_des,Tăng [param1_0] Hấp Huyết cho bản thân,Lifesteal is increased by [param1_0]
MonsterLifeLeach_level2_des,Tăng [param2_1] Hấp Huyết cho đồng đội thuộc thế lực Trung Lập,Lifesteal for Nature allies is increased by [param2_1]
MonsterLifeLeach_level3_des,Tăng [param2_2] Hấp Huyết cho tất cả đồng đội,Lifesteal for all allies is increased by [param2_2]
NatureCovering,Bích Thủy Nhất Tâm,Nature’s Cover
NatureCovering_des,"Sử dụng sức mạnh thiên nhiên, hồi phục 5% Sinh Lực mỗi giây cho cả đội, tác dụng trên bản thân 5s, đồng đội 3s","Using the power of Nature restores 5% HP/s to entire party, with effect duration for Hero lasting 5s and for allies 3s"
NatureCovering_level2_des,Hồi phục 6% Sinh Lực mỗi giây trên bản thân,Restores 6% HP/s to Hero
NatureCovering_level3_des,Đồng thời tăng [RaiseDefenseEffect_param1_0]% Phòng Ngự,DEF is increased by [RaiseDefenseEffect_param1_0]%
NatureCovering_level4_des,"Thời gian tác dụng lên đồng đội tăng thành 6s, bản thân 10s",
Toss,Phản Qua Nhất Kích,Toss
Toss_des,"Hất kẻ địch lên trời, gây sát thương bằng [param1_0]% Sức Tấn Công và làm choáng [StunEffect_duration_0]s","Tosses away an enemy, dealing [param1_0]% damage and stunning them for [StunEffect_duration_0] s"
Toss_level2_des,Tăng thời gian choáng lên thành [StunEffect_duration_1]s,Stun duration is increased to [StunEffect_duration_1] s
Toss_level3_des,Tăng sát thương lên thành [param1_2]% Sức Tấn Công,Damage is increased to [param1_2]%
PassiveRecovery,Khô Mộc Sinh Hoa,Passive Recovery
PassiveRecovery_des,Tự động hồi phục [PassiveRecoveryEffect_param1_0]% Sinh Lực mỗi [PassiveRecoveryEffect_interval]s,Automatically restores [PassiveRecoveryEffect_param1_0]% HP every [PassiveRecoveryEffect_interval] s
PassiveRecovery_level2_des,"Khi Sinh Lực dưới [PassiveRecoveryEffect_param3_1]%, tăng lượng Sinh Lực hồi phục thêm [PassiveRecoveryEffect_param2_1]%","When HP is lower than [PassiveRecoveryEffect_param3_1]%, HP recovery increases by [PassiveRecoveryEffect_param2_1]%"
PassiveRecovery_level3_des,Tăng Sinh Lực Tối Đa lên [RaiseMaxHPEffect_param1_2]%,MAX HP is increased to [RaiseMaxHPEffect_param1_2]%
StatusResUp,Phong Hoa Tuyết Nguyệt,Status Res Up
StatusResUp_des,Tăng [RaiseStatusResEffect_param1_0] Kháng trạng thái xấu,Status resistance is increased to [param1_0]
StatusResUp_level2_des,Tăng [RaiseStatusResEffect_param1_1] Kháng trạng thái xấu,Status resistance is increased to [param1_1]
StatusResUp_level3_des,Tăng [RaiseStatusResEffect_param1_2] Kháng trạng thái xấu,Status resistance is increased to [param1_2]
Fury,Ám Nhiên Tiêu Hồn Chưởng,Fury
Fury_des,"Lao thẳng về phía trước, đến gần kẻ địch thì nhảy lên chưởng 2 phát về phía 2 mục tiêu, gây sát thương diện rộng bằng [param1_0]% Sức Tấn Công. Tấn công 1 mục tiêu gần nhất và 1 mục tiêu xa nhất.","Leaps with an axe at the 2 nearest enemies, dealing [param1_0]% cleaving damage"
Fury_level2_des,Tăng sát thương lên thành [param1_1]% Sức Tấn Công,Damage is increased to [param1_1]%
Fury_level3_des,Kẻ địch bị dính hiệu ứng Đốt cháy - mất [ReduceMaxHPDPSEffect_param1_2]% Sinh Lực mỗi giây trong [ReduceMaxHPDPSEffect_duration_2]s,"Inflicts burn status on an enemy, reducing their HP by [ReduceMaxHPDPSEffect_param1_2]%/s for [ReduceMaxHPDPSEffect_duration_2] s"
Fury_level4_des,"Không thể né, tất cả kẻ địch trong tầm ảnh hưởng bị ngã ra đất [param2_3]s, sát tương tăng thành [param1_3]% Sức Tấn Công",
Piercing,Vũ Hận Vân Sầu,Piercing
Piercing_des,Mỗi lần tấn công có xác suất [PiercingEffect_param1_0]% chưởng kình xuyên qua kẻ địch bay đến mục tiêu khác phía sau,Each attack has a [PiercingEffect_param1_0]% chance to pierce through the target with the axe and hit the enemy behind
Piercing_level2_des,"Xác suất [PiercingEffect_param3_1]% kình khí lưu lại ở mục tiêu ban đầu, phát tác thì gây sát thương cho hắn thêm lần nữa",Grants a [PiercingEffect_param3_1]% chance that the axe will bounce back to the first target after hitting the enemy behind
Piercing_level3_des,"Tăng xác suất xuyên lên [PiercingEffect_param1_2]%, xác suất kình khí phát tác lên [PiercingEffect_param3_2]%",Piercing chance is increased by [PiercingEffect_param1_2]% and bounce back chance by [PiercingEffect_param3_2]%
Bloodlust,Ly Thế Tuyệt Tục,Bloodlust
Bloodlust_des,"Thiêu đốt [RaiseAtkSpdBaseOnExpendHPEffect_param1_0]% Sinh Lực của bản thân, tăng tốc độ đánh [RaiseAtkSpdBaseOnExpendHPEffect_param2_0]% trong [RaiseAtkSpdBaseOnExpendHPEffect_duration_0]s","Hero burns [RaiseAtkSpdBaseOnExpendHPEffect_param1_0]% of his HP, increasing attack speed by [RaiseAtkSpdBaseOnExpendHPEffect_param2_0]% for [RaiseAtkSpdBaseOnExpendHPEffect_duration_0] s"
Bloodlust_level2_des,"Tăng lượng Sinh Lực đốt lên [RaiseAtkSpdBaseOnExpendHPEffect_param1_1]%, tăng tốc độ đánh lên [RaiseAtkSpdBaseOnExpendHPEffect_param2_1]%","Amount of HP burned increases by [RaiseAtkSpdBaseOnExpendHPEffect_param1_1]%, increasing ATK speed by [RaiseAtkSpdBaseOnExpendHPEffect_param2_1]%"
Bloodlust_level3_des,Tăng thời gian tác dụng lên thành [RaiseAtkSpdBaseOnExpendHPEffect_duration_2]s,Effect duration is increased to [RaiseAtkSpdBaseOnExpendHPEffect_duration_2] s
InnerVitality,Sinh Ly Tử Biệt,Inner Vitality
InnerVitality_des,"Kích hoạt khả năng hồi phục của cơ thể, hồi [param2_0]% Sinh Lực mỗi giây trong [RegenerateHPIntervalEffect_duration_0]s","Grants active Troll recovery, recovering [param2_0]% HP/s for [RegenerateHPIntervalEffect_duration_0] s"
InnerVitality_level2_des,Đồng thời tăng [RaiseAtkEffect_param1_1]% Sức Tấn Công trong thời gian đó,"When in effect, ATK is increased by [RaiseAtkEffect_param1_1]%"
InnerVitality_level3_des,Hồi [param2_2]% Sinh Lực mỗi giây,Amount of HP recovered is increased by [param2_2]%/s
Skewer,Tang Hồn Lạc Phách,Skewer
Skewer_des,"Lao người chưởng về phía trước, gây sát thương bằng [param1_0]% Sức Tấn Công và đẩy lùi toàn bộ kẻ địch trên đường, cuối cùng - toàn bộ kẻ địch bị ngã ra [KnockBackEffect_duration_0]s","While charging forward, deals [param1_0]% damage and pulls all enemies in the way along before knocking them down for [KnockBackEffect_duration_0] s"
Skewer_level2_des,Kẻ địch dính chưởng bị giảm [ReduceAtkEffect_param1_1]% Sức Tấn Công trong [ReduceAtkEffect_duration_1]s,Hitting enemies with charge reduces their ATK by [ReduceAtkEffect_param1_1]% for [ReduceAtkEffect_duration_1] s
Skewer_level3_des,Kẻ địch dính chưởng bị giảm [ReduceAtkEffect_param1_3]% Sức Tấn Công trong [ReduceAtkEffect_duration_1]s. Tăng sát thương lên thành [param1_2]% Sức Tấn Công.,Damage is increased to [param1_2]%
Skewer_level4_des,Địch bị giảm [param3_3]% Tốc Độ Tấn Công trong 8s,
ThickSkin,La Hán Phục Ma Thần Công,Thick Skin
ThickSkin_des,"Thạch Phá Thiên vận công, tăng [RaiseDefenseEffect_param1_0]% Phòng Ngự trong [RaiseDefenseEffect_duration_0]s",Grants a buff upon self that increases DEF by [RaiseDefenseEffect_param1_0]% for [RaiseDefenseEffect_duration_0] s
ThickSkin_level2_des,Tăng thời gian tác dụng lên thành [RaiseDefenseEffect_duration_1]s,Effect duration is increased to [RaiseDefenseEffect_duration_1] s
ThickSkin_level3_des,Tăng Phòng Ngự lên thành [RaiseDefenseEffect_param1_2]%,DEF is increased to [RaiseDefenseEffect_param1_2]%
Xcell,Thái Huyền Tâm Kinh,Xcell
Xcell_des,Mọi lượng Phục Hồi Sinh Lực vào Thạch Phá Thiên đều được tăng thêm [RaiseHealMultiEffect_param1_0]% ( bao gồm cả Hấp Huyết ),"All HP restored to this Hero is increased by [RaiseHealMultiEffect_param1_0]%, including Lifesteal"
Xcell_level2_des,Mọi lượng Phục Hồi Sinh Lực vào Thạch Phá Thiên đều được tăng thêm [RaiseHealMultiEffect_param1_1]%,All HP restored to Hero is increased by [RaiseHealMultiEffect_param1_1]%
Xcell_level3_des,Tăng [RaiseMaxHPEffect_param1_2]% Sinh Lực Tối Đa,MAX HP is increased by [RaiseMaxHPEffect_param1_2]%
RhinoSpirit,Viêm Viêm Công,Rhino Spirit
RhinoSpirit_des,"Khi Thạch Phá Thiên bị thương, mỗi đòn đánh thường có tỉ lệ [NormalAttackKnockbackEffect_param1_0]% làm ngã đối phương [NormalAttackKnockbackEffect_param2_0]s","Unless HP is at MAX, grants each normal attack a [NormalAttackKnockbackEffect_param1_0]% chance to knock down an enemy for [NormalAttackKnockbackEffect_param2_0] s"
RhinoSpirit_level2_des,Tăng tỉ lệ làm ngã lên thành [NormalAttackKnockbackEffect_param1_1]%,Knockdown chance is increased to [NormalAttackKnockbackEffect_param1_1]%
RhinoSpirit_level3_des,Tăng tỉ lệ làm ngã lên thành [NormalAttackKnockbackEffect_param1_2]%,Knockdown chance is increased to [NormalAttackKnockbackEffect_param1_2]%
GhostForm,Minh Ngọc Thần Công,Ghost Form
GhostForm_des,"Kích hoạt Minh Ngọc Thân Pháp trong [GhostFormEffect_duration_0]s - trong trạng thái này Yêu Nguyệt được giảm sát thương vật lý nhận vào, nhưng bị tăng sát thương chiêu thức nhận vào, đồng thời được tăng [RaiseAtkEffect_param1_0]% Sức Tấn Công","Takes on a ghost form for [GhostFormEffect_duration_0] s, reducing normal attack damage received and increasing skill damage, while also increasing ATK by [RaiseAtkEffect_param1_0]%"
GhostForm_level2_des,Kháng toàn bộ sát thương vật lý nhận vào,Grants immunity to normal attack damage
GhostForm_level3_des,Không bị tăng sát thương chiêu thức vào nữa,Nullifies all skill damage received
GhostForm_level4_des,Tăng [param1_3]% Tốc Độ Tấn Công cho bản thân trong 8s,
AtkSpirit,Hoa Thần Thất Thức,ATK Spirit
AtkSpirit_des,"Sử dụng [param2_0] bông hoa tấn công 1 kẻ địch, mỗi bông hoa gây sát thương bằng [param1_0]% Sức Tấn Công","Summons [param2_0] Spirits to unleash an attack upon the enemy, each Spirit dealing [param1_0]% damage"
AtkSpirit_level2_des,Tăng sát thương lên thành [param1_1]% Sức Tấn Công,Spirit damage is increased to [param1_1]%
AtkSpirit_level3_des,Tăng sát thương lên thành [param1_2]% Sức Tấn Công,Spirit damage is increased to [param1_2]%
HealSpirit,Hoa Phi Điệp Vũ,Healing Spirit
HealSpirit_des,Dùng [param2_0] bông hoa dược liệu phục hồi sinh lực cho 2 đồng đội Sinh Lực đang thấp nhất. Mỗi bông hoa hồi lượng Sinh Lực bằng [param1_0]% Sức Tấn Công của Yêu Nguyệt,"Summons [param2_0] Spirits to heal the 2 allies with the lowest HP, each recovering HP equal to [param1_0]% of a Forest Spirit’s ATK"
HealSpirit_level2_des,Mỗi bông hoa bổ sung cho đồng đội [param3_1] Nội Lực,Each Spirit grants ally [param3_1] Mana
HealSpirit_level3_des,Tăng lượng Sinh Lực hồi lên thành [param1_2]% Sức Tấn Công,HP recovered is increased to [param1_2]% ATK
Flee,Di Hoa Tiếp Ngọc,Flee
Flee_des,"Khi bị tấn công, Yêu Nguyệt sử dụng thân pháp uyển chuyển, biến mất khỏi tầm nhìn của kẻ địch, chỉ để lại hư ảnh của bông hoa","When under attacked, turns invisible and flees to an ally in the back"
Flee_level2_des,"Xuất hiện lại sau lưng 1 đồng đội, phục hồi cho đồng đội đó [param1_1]% Sinh Lực","Once visible again, ally recovers [param1_1]% HP"
Flee_level3_des,Bản thân được hồi [param2_1]% Sinh Lực khi xuất hiện lại,Recovers [param2_1]% HP after reavealing herself.
Assassinate,Thiên Kiếm Càn Khôn,Assassinate
Assassinate_des,"Chọn kẻ địch có Sinh Lực thấp nhất, phi thân đến chỗ hắn chém liên tục, gây sát thương bằng [param1_0]% Sức Tấn Công","Blinks to attack the enemy with the lowest HP, dealing [param1_0]% damage"
Assassinate_level2_des,Hấp thu 50% nội lực hiện tại của kẻ địch,Steals [param2_1]% of enemy’s Mana
Assassinate_level3_des,Tạo nội lực hộ thể chắn được lượng sát thương bằng [param3_2]% Sức Tấn Công bản thân,Creates a shield that blocks an amount of damage equal to [param3_2]% ATK
Assassinate_level4_des,"Tạo nội lực hộ thể bằng [param3_3]% Sức Tấn Công bản thân, kết thúc chiêu thì tăng [param6_3] Chính Xác trong [param7_3]s",
Rage,Ngạo Tuyết Lâm Phong,Rage
Rage_des,Sinh Lực càng thấp càng làm tăng tốc độ đánh của Phong Thanh Dương- tối đa tăng lên [RaiseAtkSpdBaseOnHPPercentEffect_param1_0]% tốc độ đánh,"As HP is reduced, ATK speed increases to a maximum of [RaiseAtkSpdBaseOnHPPercentEffect_param1_0]%"
Rage_level2_des,Tăng tốc độ tối đa lên [RaiseAtkSpdBaseOnHPPercentEffect_param1_1]%,MAX ATK speed is increased by [RaiseAtkSpdBaseOnHPPercentEffect_param1_1]%
Rage_level3_des,Tăng tốc độ tối đa lên [RaiseAtkSpdBaseOnHPPercentEffect_param1_2]%,MAX ATK speed is increased by [RaiseAtkSpdBaseOnHPPercentEffect_param1_2]%
ChargePassive,Cực Trung Hữu Cực,Passive Charge
ChargePassive_des,"Sau khi vào trận, mỗi giây Phong Thanh Dương tăng thêm [RaiseAtkBaseOnTimeEffect_param1_0]% Sức Tấn Công, tối đa tăng đến [RaiseAtkBaseOnTimeEffect_param2_0]%","Upon battle start, increases ATK by [RaiseAtkBaseOnTimeEffect_param1_0]%/s to a maximum of [RaiseAtkBaseOnTimeEffect_param2_0]%"
ChargePassive_level2_des,"Ngay sau khi Sức Tấn Công tăng đạt mức tối đa, phát nổ gây sát thương diện rộng bằng [RaiseAtkBaseOnTimeEffect_param3_1]% Sức Tấn Công hiện tại",Creates an explosion dealing [RaiseAtkBaseOnTimeEffect_param3_1]% AOE damage when ATK reaches maximum
ChargePassive_level3_des,Vụ nổ làm kẻ địch bị Phế Võ Công [RaiseAtkBaseOnTimeEffect_param4_2]s,Explosion inflicts Silent effect on enemies for [RaiseAtkBaseOnTimeEffect_param4_2] s
BloodBath,Cực Phá Hư Không,Bloodbath
BloodBath_des,"Mỗi khi kết liễu một kẻ địch, Phong Thanh Dương được hồi lại lượng máu bằng [HealWhenKillEffect_param1_0]% Sinh Lực của kẻ địch","With every kill, Hero recovers an amount of HP equal to [HealWhenKillEffect_param1_0]% HP of the enemy’s"
BloodBath_level2_des,Hồi lại lượng máu bằng [HealWhenKillEffect_param1_1]% Sinh Lực của kẻ địch,Amount recovered is now equal to [HealWhenKillEffect_param1_1]% of enemy’s HP
BloodBath_level3_des,Hồi lại lượng máu bằng [HealWhenKillEffect_param1_2]% Sinh Lực của kẻ địch,Amount recovered is now equal to [HealWhenKillEffect_param1_2]% of enemy’s HP
ThunderSpear,Lệ Bất Hư Phát,Thunder Spear
ThunderSpear_des,"Nhảy lên trời ném phi đao về phía kẻ địch, khoảnh khắc sau xuất hiện 5 thanh phi đao từ 5 hướng đâm vào người hắn, gây sát thương tổng cộng [param1_0]% Sức Tấn Công - không thể né tránh","Throws a Thunder Spear that nails the enemy to the ground, followed by a series of lightning bolts, dealing a total of [param1_0]% damage that cannot be evaded"
ThunderSpear_level2_des,Tăng sát thương lên thành [param1_1]% Sức Tấn Công,Damage increased to [param1_1]%
ThunderSpear_level3_des,Kẻ địch bị giảm [ReduceDefenseEffect_param1_2]% Phòng Ngự trong [ReduceDefenseEffect_duration_2]s,Enemy’s DEF reduced by [ReduceDefenseEffect_param1_2]% for [ReduceDefenseEffect_duration_2] s
ThunderSpear_level4_des,Hấp Huyết [param3_3]%,
MultiShot,Phi Đao Vấn Tình,Multi-Shot
MultiShot_des,Ném liên tục 4 phát về phía kẻ địch,Throws 4 spears continuously at an enemy
MultiShot_level2_des,Mỗi phát ném có tỉ lệ [param2_1]% gây sét giật bằng [param3_1]% Sức Tấn Công,"Each spear has a [param2_1]% chance to strike an enemy with lightning, dealing [param3_1]% damage"
MultiShot_level3_des,Sét giật làm choáng kẻ địch [param4_2]s,Lightning stuns enemy for [param4_2] s
BloodPoison,Kiến Huyết Phong Hầu,Blood Poison
BloodPoison_des,"Mỗi đòn tấn công, Lý Tầm Hoan tự rút [AddSendingDmgBaseOnExpendHPEffect_param1_0]% Sinh Lực của bản thân để tăng thêm Sức Tấn Công bằng [AddSendingDmgBaseOnExpendHPEffect_param2_0]% số Sinh Lực đó","For each attack, Hero uses [AddSendingDmgBaseOnExpendHPEffect_param1_0]% HP, increasing ATK equal to [AddSendingDmgBaseOnExpendHPEffect_param2_0]% of that HP"
BloodPoison_level2_des,"Khi Sinh Lực bản thân dưới [RegenerateHPIntervalOnDemandEffect_param1_1]%, Lý Tầm Hoan tự động phục hồi [RegenerateHPIntervalOnDemandEffect_param2_1]% Sinh Lực mỗi giây","When HP is lower than [RegenerateHPIntervalOnDemandEffect_param1_1]%, Hero begins to generate [RegenerateHPIntervalOnDemandEffect_param2_1]% HP/s"
BloodPoison_level3_des,Sức Tấn Công tăng thêm bằng [AddSendingDmgBaseOnExpendHPEffect_param2_2]% số Sinh Lực mất,Bonus ATK is now equal to [AddSendingDmgBaseOnExpendHPEffect_param2_2]% of lost HP.
Leap,Nhiếp Hồn Nguyệt Ảnh,Leap
Leap_des,"Nhảy đến trước mặt kẻ địch, ném phi đao gây sát thương bằng [param1_0]% Sức Tấn Công rồi nhảy về. Hấp Huyết [param2_0]%","Leaps to an enemy, dealing [param1_0]% damage before returning to their position"
Leap_level2_des,Địch bị ngã ra [KnockBackEffect_duration_1]s,Enemy is knocked down for [KnockBackEffect_duration_1] s
Leap_level3_des,Hấp Huyết [param2_2]%,Lifesteal now is equal to [param2_2]% damage dealt
SnowStorm,Ngọc Nữ Kiếm Pháp,Snowstorm
SnowStorm_des,Vung kiếm chém liên tục về phía kẻ địch gây sát thương diện rộng bằng [param1_0]% Sức Tấn Công và làm giảm [ReduceAtkSpeedEffect_param1_0]% tốc độ đánh và di chuyển của kẻ địch trong [ReduceAtkSpeedEffect_duration_0]s,Summons a snowstorm that deals [param1_0]% AOE damage and reduces enemy’s ATK speed and movement speed by [ReduceAtkSpeedEffect_param1_0]% for [ReduceAtkSpeedEffect_duration_0] s
SnowStorm_level2_des,"Kẻ địch bị dính thêm hiệu ứng Nhiễm lạnh - mất [ReduceMaxHPDPSEffect_param1_1]% Sinh Lực mỗi giây, trong thời gian bị Nhiễm Lạnh thì mất [ReduceRegenHPEffect_param1_1]% khả năng hồi phục Sinh Lực","Frostbite effect is inflicted, causing enemy to lose [ReduceMaxHPDPSEffect_param1_1]% HP/s"
SnowStorm_level3_des,Tăng thời gian tác dụng lên thành [ReduceAtkSpeedEffect_duration_2]s,Effect duration is increased to [ReduceAtkSpeedEffect_duration_2] s
SnowStorm_level4_des,"Sát thương tăng thành [param1_3]% Sức Tấn Công, kẻ trúng đòn bị giảm [ReduceAtkEffect_param1_3]% Sức Tấn Công trong 7s",
SpeedUp,Lưu Thủy Quyết,Speed Up
SpeedUp_des,"Tăng [RaiseAtkSpeedEffect_param1_0]% tốc độ đánh cho đồng đội có Sức Tấn Công cao nhất, tác dụng trong [RaiseAtkSpeedEffect_duration_0]s và đồng đội đó nhận hiệu ứng Bá Thể trong 5s.",Increases [RaiseAtkSpeedEffect_param1_0]% of ATK speed for the ally with the greatest ATK for [RaiseAtkSpeedEffect_duration_0] s
SpeedUp_level2_des,Tăng [RaiseAtkSpeedEffect_param1_1]% tốc độ đánh,ATK speed is increased to [RaiseAtkSpeedEffect_param1_1]%
SpeedUp_level3_des,Tăng đồng thời 2 đồng đội,Number of allies affected at once is increased to 2
Freeze,Hàn Ngọc Quyết,Freeze
Freeze_des,"Đóng băng 1 đồng đội trong [FrozenEffect_duration_0]s. Trong trạng thái này, đồng đội kháng [ModifyReceiveNormalAttackDmgEffect_param1_0]% mọi loại sát thương, hồi phục [RegenerateHPIntervalEffect_param1_0]% Sinh Lực và 100 Nội Lực mỗi giây.","Freezes an ally for [FrozenEffect_duration_0] s, increasing resistance to all kinds of attacks by [ModifyReceiveNormalAttackDmgEffect_param1_0]% and recovering [RegenerateHPIntervalEffect_param1_0]% HP/s"
Freeze_level2_des,Kháng [ModifyReceiveNormalAttackDmgEffect_param1_1]% mọi loại sát thương,All ATK resistances is increased to [ModifyReceiveNormalAttackDmgEffect_param1_1]%
Freeze_level3_des,Tăng thời gian đóng băng lên thành [FrozenEffect_duration_2]s,Effect duration is increased to [FrozenEffect_duration_2] s
MagicRes,Ngọc Nữ Tâm Kinh,Magic Res
MagicRes_des,Tiểu Long Nữ có khả năng kháng [ModifyReceiveSkillDmgEffect_param1_0]% sát thương chiêu thức nhận vào,Skill ATK resistance is increased to [ModifyReceiveSkillDmgEffect_param1_0]%
MagicRes_level2_des,Kháng [ModifyReceiveSkillDmgEffect_param1_1]% sát thương chiêu thức nhận vào,Skill ATK resistance is increased to [ModifyReceiveSkillDmgEffect_param1_1]%
MagicRes_level3_des,Kháng [ModifyReceiveSkillDmgEffect_param1_2]% sát thương chiêu thức nhận vào,Skill ATK resistance is increased to [ModifyReceiveSkillDmgEffect_param1_2]%
Armageddon,Mãn Thiên Hoa Vũ,Armageddon
Armageddon_des,"Nhảy lên trời ném ám khí ra tứ phía, gây sát thương bằng [param1_0]% Sức Tấn Công cho tất cả các đơn vị - trừ bản thân Đông Phương Bất Bại, đồng đội nhận sát thương bằng [param2_0]% Sức Tấn Công",Summons a fire storm that deals [param1_0]% damage to all units except the Hero
Armageddon_level2_des,Giảm sát thương gây ra cho đồng đội xuống còn [param2_1]% Sức Tấn Công,Damage dealt to allies is reduced by [param2_1]%
Armageddon_level3_des,Tăng sát thương lên thành [param1_2]% Sức Tấn Công,Damage is increased to [param1_2]%
Armageddon_level4_des,"Kẻ trúng đòn mỗi giây nhận sát thương bằng [param5_3]% Sinh Lực Tối Đa của chính hắn trong [param6_3]s, sát thương không xuyên Thủ nhưng bỏ qua Kháng Chiêu Thức của địch.",
FlameChain,Tú Hoa Châm,Flame Chain
FlameChain_des,"Trói 2 kẻ địch gần nhất bằng Tú Hoa Châm trong [StunEffect_duration_0]s, mỗi giây gây sát thương bằng [param1_0]% Sức Tấn Công","Chains a pair of enemies nearest to the Hero for [StunEffect_duration_0] s, dealing [param1_0]% damage/s"
FlameChain_level2_des,Tăng sát thương lên thành [param1_1]% Sức Tấn Công,Damage is increased to [param1_1]%
FlameChain_level3_des,Tăng thời gian tác dụng lên thành [StunEffect_duration_2]s,Effect duration is increased to [StunEffect_duration_2] s
SelfDestruction,Bạo Vũ Lê Hoa,Self-Destruction
SelfDestruction_des,"Khi chết, Đông Phương Bất Bại tự phát nổ gây sát thương bằng [param1_0]% Sinh Lực của bản thân cho toàn bộ kẻ địch. Hiệu ứng không thể bị vô hiệu hóa hay ngăn chặn.","Upon death, Hero’s corpse explodes, dealing an amount of AOE damage equal to [param1_0]% HP to all enemies around"
SelfDestruction_level2_des,Sát thương tăng lên thành [param1_1]% Sinh Lực bản thân,AOE diameter is expanded
SelfDestruction_level3_des,Vụ nổ gây choáng [param3_2]s,Explosion now stuns enemies for [param3_2] s
FireWall,Quỳ Hoa Chân Khí,Fire Wall
FireWall_des,"Dùng chân khí điều khiển kim châm xoay quanh người, đẩy lùi kẻ địch tiếp cận - kẻ địch mất [BlockShieldEffect_param1_0]% Sinh Lực mỗi lần va chạm với vòng chân khí. Tồn tại trong [BlockShieldEffect_duration_0]s","Encircles the Hero in a wall of fire that pushes back all enemies attempting to attack, causing them lose [BlockShieldEffect_param1_0]% HP each time they hit the wall for [BlockShieldEffect_duration_0] s"
FireWall_level2_des,Kẻ địch mất [BlockShieldEffect_param1_1]% Sinh Lực mỗi lần va chạm,"With each hit, enemies now lose [BlockShieldEffect_param1_1]% HP"
FireWall_level3_des,Tồn tại trong [BlockShieldEffect_duration_2]s,Effect duration is increased to [BlockShieldEffect_duration_2] s
Reconstruct,Tiểu Vô Tướng Công,Reconstruct
Reconstruct_des,Nhảy lên ném [param2_0] ám khí về phía các kẻ địch ngẫu nhiên. Mỗi ám khí gây sát thương bằng [param1_0]% Sức Tấn Công và làm choáng [StunEffect_duration_0]s,"Shoots [param2_0] parts of Hero’s body at an enemy, each dealing [param1_0]% damage and inflicting stun for [StunEffect_duration_0] s"
Reconstruct_level2_des,Bản thân phục hồi [param3_1]% Sinh Lực sau khi xuất chiêu thành công,"When buff expires, recovers [param3_1]% HP"
Reconstruct_level3_des,Tăng thời gian làm choáng lên thành [StunEffect_duration_2]s,Stun duration is increased to [StunEffect_duration_2] s
Reconstruct_level4_des,Sát thương mỗi ám khí tăng thành [param1_3]% Sức Tấn Công,
StoneShield,Tiêu Dao Chân Khí,Stone Shield
StoneShield_des,"Tăng [RaiseDefenseEffect_param1_0]% Phòng Ngự cho đồng đội có Phòng Ngự cao nhất, tác dụng trong [RaiseDefenseEffect_duration_0]s",Ally with the greatest DEF has their DEF increased by [RaiseDefenseEffect_param1_0]% for [RaiseDefenseEffect_duration_0] s
StoneShield_level2_des,Tăng thời gian tác dụng lên thành [RaiseDefenseEffect_duration_1]s,Effect duration is increased to [RaiseDefenseEffect_duration_1] s
StoneShield_level3_des,Tăng [RaiseDefenseEffect_param1_2]% Phòng Ngự,DEF now is increased by [RaiseDefenseEffect_param1_2]%
StoneFall,Bạch Hồng Chưởng,Stone Fall
StoneFall_des,"Bắn chưởng về phía trước, trúng 1 kẻ địch ngẫu nhiên gây sát thương bằng [param1_0]% Sức Tấn Công và làm choáng [StunEffect_duration_0]s","Summons a giant stone to crash down upon a random enemy’s head, dealing [param1_0]% damage and inflicting Stun for [StunEffect_duration_0] s"
StoneFall_level2_des,Bắn 2 chưởng về phía 2 kẻ địch ngẫu nhiên,"Number of stones summoned is increased to 2, dealing damage to 2 random enemies"
StoneFall_level3_des,Bắn 3 chưởng về phía 3 kẻ địch ngẫu nhiên,"Number of stones summoned is increased to 3, dealing damage to 3 random enemies"
ReflectPassive,Thiên Giám Thần Công,Reflect Passive
ReflectPassive_des,Kẻ địch tấn công bị phản lại [ReflectReceiveDmgEffect_param1_0]% sát thương gây ra cho Lý Thu Thủy,Reflects [ReflectReceiveDmgEffect_param1_0]% damage dealt by enemy
ReflectPassive_level2_des,Phản lại [ReflectReceiveDmgEffect_param1_1]% sát thương,Reflected damage is increased to [ReflectReceiveDmgEffect_param1_1]%
