KEY,Vietnamese,English
MusicLb,Âm nhạc,Âm nhạc
SoundLb,Âm thanh,Âm thanh
OnLb,MỞ,MỞ
OffLb,TẮT,TẮT
VisualEffectInBattleLb,Hiệu ứng chiến đấu,Hiệu ứng chiến đấu
GooglePlayLb,Google Play,Google Play
FacebookLb,Facebook,Facebook
LinkDeviceLb,Liên kết thiết bị,Liên kết thiết bị
ConnectLb,Kết nối,Kết nối
ReportBugLb,Báo lỗi,Báo lỗi
TermOfServiceLb,Điều khoản sử dụng,Điều khoản sử dụng
GiftcodeLb,Mã Quà Tặng,Mã Quà Tặng
LoginGameCenterWarning,Đăng nhập bằng tài khoản Game Center để bảo vệ tiến trình chơi nếu Chưởng Môn chơi nhiều tài khoản trên thiết bị IOS.,Đăng nhập bằng tài khoản Game Center để bảo vệ tiến trình chơi nếu bạn chơi nhiều tài khoản trên thiết bị IOS.
ConnectGameCenterTip,Đăng nhập vào Game Center trong phần CÀI ĐẶT sau đó khởi động lại game để kết nối,Đăng nhập vào Game Center trong phần CÀI ĐẶT sau đó khởi động lại game để kết nối
ConnectedLb,Đã kết nối,Đã kết nối
LoginGoolePlayWarning,Đăng nhập bằng tài khoản Google Play để bảo vệ tiến trình chơi nếu Chưởng Môn chơi nhiều tài khoản trên thiết bị Android.,Đăng nhập bằng tài khoản Google Play để bảo vệ tiến trình chơi nếu bạn chơi nhiều tài khoản trên thiết bị Android.
FacebookConnected,Đã kết nối,Đã kết nối
SendLb,Gửi,Gửi
ReadLb,Đọc,Đọc
InputLb,Nhập,Nhập
SocialGoogleTitle,Google Play,Google Play
SocialIOSTitle,Game Center,Game Center
ConfigVersionText,Cấu hình phiên bản: {0},Cấu hình phiên bản: {0}
ReportSystemTitle,HÒM THƯ,THÔNG BÁO HỆ THỐNG
SystemMailLb,Hệ thống,Hệ thống
SocialMailLb,Xã hội,Xã hội
EmptyLb,Trống,Trống
ReceivedLb,Đã nhận,Đã nhận
ReceiveLb,Nhận,Nhận
CancelLb,Từ chối,Từ chối
PreviewLb,Xem trước,Xem trước
JoinLb,Gia nhập,Gia nhập
AllFriendLb,Tất cả hảo hữu,Tất cả bạn bè
RequestFriendLb,Yêu cầu,Yêu cầu
FriendDeleteLb,Xóa,Xóa
FriendVisitLb,Thăm,Thăm
FriendInviteClanLb,Mời vào Bang,Mời vào Bang
FriendAddLb,Thêm,Thêm
FriendAcceptLb,Đồng ý,Đồng ý
FriendCancelLb,Hủy bỏ,Hủy bỏ
FriendSummonLb,Chiêu Mộ,Triệu hồi
FriendHighFiveAllLb,Đập tay với tất cả,Đập tay với tất cả
HighFiveRemainingLb,Số lần đập tay còn lại: {0}/{1},Số lần đập tay còn lại: {0}/{1}
TOS_read_details,Nhấn để xem Điều khoản sử dụng và Chính sách bảo mật,Nhấn để xem Điều khoản sử dụng và Chính sách bảo mật
PrivacyPolicyLb,Chính sách bảo mật,Chính sách bảo mật
ExitLb,Thoát,Thoát
TermOfServiceTitle,ĐiỀU KHOẢN SỬ DỤNG,ĐiỀU KHOẢN SỬ DỤNG
secretMapOpenGate,MỞ:{0}%,MỞ:{0}%
RefreshEventAfter,Làm mới sự kiện sau:,Làm mới sự kiện sau:
SecretMapHuongDan,Bản Đồ Bí Cảnh:\n1. Tìm kiếm mảnh bản đồ.\n2. Cổng sẽ tự động mở khi tìm được 50% số mảnh.\n3. Tìm đến cánh cổng và khiêu chiến thủ hộ giả của Bí Cảnh để nhận phần thưởng.,Bản Đồ Bí Cảnh:\n1. Tìm kiếm mảnh bản đồ.\n2. Cổng sẽ tự động mở khi tìm được 50% số mảnh.\n3. Tìm đến cánh cổng và khiêu chiến thủ hộ giả của Bí Cảnh để nhận phần thưởng.
RestartGame,Khởi động lại trò chơi,Khởi động lại trò chơi
TimeCloseRiftBoss,Đóng: {0},Đóng: {0}
TimeNextXinManh,Không thể gửi 2 yêu cầu cùng lúc. Hãy đợi…{0},Không thể 2 yêu cầu đồng thời. Hãy đợi…{0}
BBTitle_BB1,Tiễu phỉ,Diệt Quỷ
BBDes_BB1,Tiêu diệt bọn thổ phỉ ngoài thành,Đến hang núi phía đông diệt quỷ
BBTitle_BB2,Giúp đỡ hảo hữu,Giúp Bạn
BBDes_BB2,Giúp hảo hữu tăng công lực,Giúp bạn luyện tập tăng sức mạnh
BBTitle_BB3,Sửa Chữa,Sửa Chữa
BBDes_BB3,Sửa chữa trang bị ở lò rèn,Sửa chữa trang bị ở lò rèn
BBTitle_BB4,Lễ Hội,Lễ Hội
BBDes_BB4,Tham gia lễ hội trong thôn làng,Tham dự lễ hội ở quán rượu
BBTitle_BB5,Canh Gác,Canh Gác
BBDes_BB5,Canh gác khu vực trọng yếu,Canh gác khu vực trọng yếu
BBTitle_BB6,Chiến Đấu,Chiến Đấu
BBDes_BB6,Tham gia chiến đấu trên chiến trường phía bắc,Tham gia chiến đấu trên chiến trường phía bắc
BBTitle_BB7,Giải Cứu,Giải Cứu
BBDes_BB7,Giải cứu người dân ở phía tây ngọn núi,Giải cứu người dân ở phía tây ngọn núi
BBTitle_BB8,Bảo vệ,Bảo vệ
BBDes_BB8,Bảo vệ đoàn xe buôn bán gần biên giới,Bảo vệ đoàn xe buôn bán gần biên giới
BBTitle_BB9,Bảo vệ,Bảo vệ
BBDes_BB9,Bảo vệ môn phái khỏi Ma Giáo,Bảo vệ môn phái khỏi Ma Giáo
BBTitle_BB10,Hộ tống thôn dân,Tấn Công
BBDes_BB10,"Thôn Dân muốn ra khỏi thành, hãy hộ tống anh ta đến nơi anh ta muốn",Tấn công hội kín tôn thờ quỷ
BBTitle_BB11,Tiêu diệt Kim Binh,Phong Ấn
BBDes_BB11,Tìm và diệt đám binh lính Kim Quốc,Tham gia phong ấn ác thấn
BBTitle_BB12,Cao Thủ Giang Hồ,Giành lại Froststeel
BBDes_BB12,Trau dồi võ học với các cao thủ giang hồ,Giành lại quặng Froststeel từ lũ quỷ
BBTitle_BB13,Giúp thôn nữ,Tị nạn
BBDes_BB13,"Thôn nữ muốn hái thuốc về chữa bệnh cho dân chúng, hãy đưa cô ấy đi tìm cây thuốc",Giúp người dân Xứ Frost đi tị nạn
BBTitle_BB14,Hắc Y Nhân,Giúp dân Thằn Lằn
BBDes_BB14,"Đuổi theo kẻ mặc đồ đen, hắn hành động rất mờ ám",Giúp dân Thằn Lằn xây dựng lại làng mạc
BBTitle_BB15,Tuần tra,Giúp Hoàng tử Nicolas
BBDes_BB15,"Tuần tra vào ban đêm, đề phòng có kẻ đột nhập vào thành",Giúp Hoàng tử Nicolas diệt quỷ
BBTitle_BB16,Sửa chữa tường thành,Tìm Tinh thể hỗn mang
BBDes_BB16,"Tường của Nhạn Môn Quan bị hỏng do trận đánh của quân Kim, mau đi kiếm nguyên liệu về để tu sửa lại.",Giúp Đại Tư Tế tìm Tinh thể Hỗn Mang
BBTitle_BB17,Thục Nữ Kiếm,Mua váy cho Ana
BBDes_BB17,"Thục Nữ Kiếm của Tiểu Long Nữ bị đánh cắp, mau đi tìm lại",Giúp Ana mua váy áo mới
BBTitle_BB18,Giải cứu thôn nữ,Thủy thủ mất tích
BBDes_BB18,"Vài thôn nữ bị đám đạo tặc bắt cóc, mau đi cứu họ",Tìm thủy thủ mất tích ở biển Cobia
BBTitle_BB19,Cứu nạn dân,Đấu vật
BBDes_BB19,"Nạn dân chạy ra từ khu vực lân cận Giang Tân Thôn, nghe nói Phong Đô Quỷ Thành lại hiện thế",Tham gia lễ hội đấu vật ở làng thú tộc
BBTitle_BB20,Vận tiêu,Người hâm mộ Nob
BBDes_BB20,Hộ tống đoàn xe chở hàng hóa của Triều Đình,Trả lời thư người hâm mộ hộ anh hùng Nob
BBTitle_BB21,Bắt cướp,Diệt Quỷ Băng
BBDes_BB21,"Phía nam Tô Châu xuất hiện bọn cướp, mau đến tiễu trừ",Diệt đám quỷ băng đang tấn công làng thú tộc
BBTitle_BB22,Trồng cây,Trồng cây
BBDes_BB22,Giúp các dân làng trong rừng trồng lại cây cối,Giúp các tiên nữ trong rừng trồng lại cây cối
BBTitle_BB23,Xây cổng,Mảnh Linh hồn Đá
BBDes_BB23,Tìm các phiến đá để xây lại cổng thành,Tìm mảnh đá bị mất của Linh hồn Đá
BBTitle_BB24,Điều tra,Điều tra
BBDes_BB24,Điều tra sự xuất hiện của đám đạo tặc ban đêm,Điều tra nguồn của năng lượng bí ẩn
BBTitle_BB25,Dựng trại,Xây dựng
BBDes_BB25,Xây dựng lại trại cho những người dân đi rừng,Xây lại phần hỏng của Phong Ấn Thần Điện
,,
BountyBoardLevelTitle,Cáo Thị Cấp {0},BẢNG NHIỆM VỤ CẤP {0}
ClaimLb,NHẬN,NHẬN
BBCompletedLb,Hoàn thành,Hoàn thành
RewardLb,Phần thưởng,Phần thưởng
BBSoloMissionTitle,Nhiệm Vụ Cá Nhân,Nhiệm Vụ Cá Nhân
BBAllianceMissionTitle,Nhiệm Vụ Bang Hội,Nhiệm Vụ Liên Minh
BBMisionBoardTitle,Cáo Thị,Cáo Thị
MissionBoardLevelUpProgress,Tiến trình nâng cấp bảng cáo thị,Tiến trình nâng cấp bảng nhiệm vụ
BBUnlockMissionLabel,Mở khóa nhiệm vụ cấp: {0},Mở khóa {0} nhiệm vụ
BBCompleteSoloMissionLabel,Hoàn thành nhiệm vụ cáo thị cá nhân phẩm {0},Hoàn thành {0} nhiệm vụ cá nhân
BBCompleteAllianceMissionLabel,Hoàn thành nhiệm vụ cáo thị Bang Hội phẩm {0},Hoàn thành {0} nhiệm vụ liên minh
FriendInviteToClan,{0} mời Chưởng Môn tham gia {1},{0} mời bạn tham gia {1}
SureGiveManhSecretMap,Chắc chắn tặng {0} một mảnh {1} ?,Chắc chắn tặng {0} một mảnh {1} ?
clanLevel,Cấp:,Cấp:
TopClan,Top Bang Hội,Top Bang Hội
NearbyClan,Bang lân cận,Bang lân cận
SuggestClan,Bang đề cử,Bang đề cử
listClan,Danh mục Bang hội,Danh mục Bang hội
JOIN,GIA NHẬP,GIA NHẬP
Search,TÌM,TÌM
EnterClanName,Nhập tên Bang hội,Nhập tên Bang hội
selectYourClanFlag,Chọn cờ,Chọn cờ
inputClanName,Tên Bang Hội,Tên Bang Hội
clanType,Loại Bang Hội,Loại Bang Hội
CreateClan,TẠO,TẠO
ClanNotifycation,Thông báo,Thông báo
welcome,Chào mừng,Chào mừng
LEADERBOARD,BẢNG XẾP HẠNG,BẢNG XÊP HẠNG
RECORD,XEM LẠI,BẢNG LƯU
FORMATION,ĐỘI HÌNH,ĐỘI HÌNH
ACCEPT,CHẤP NHẬN,CHẤP NHẬN
REJECT,TỪ CHỐI,TỪ CHỐI
SureAcceptJoinClanByApply,Đồng ý cho người này gia nhập Bang?,Đồng ý cho người này gia nhập Bang?
LoadingLabel,Đang tải,Đang tải
LEAVE_CLAN,RỜI BANG,RỜI BANG
Combine,Kết hợp ([ffee00]-{0}[-]),Kết hợp ([ffee00]-{0}[-])
SECRET_MAP,Bản đồ\nbí mật,Bản đồ\nbí mật
ADDFRIEND,Thêm hảo hữu,Thêm bạn
SureLeaveClan,Chắc chắn rời Bang?,Chắc chắn rời Bang?
Ranking,Thứ hạng,Thứ hạng
server1,S1,S1
server2,S2,S2
server3,S3,S3
server4,S4,S4
server5,S5,S5
server6,S6,S6
server7,S7,S7
server8,S8,S8
server9,S9,S9
server10,S10,S10
server11,S11,S11
server12,S12,S12
server13,S13,S13
server14,S14,S14
server15,S15,S15
server16,S16,S16
server17,S17,S17
server18,S18,S18
server19,S19,S19
server20,S20,S20
server21,S21,S21
server22,S22,S22
server23,S23,S23
server24,S24,S24
server25,S25,S25
server26,S26,S26
server27,S27,S27
server28,S28,S28
server29,S29,S29
server30,S30,S30
server31,S31,S31
server32,S32,S32
server33,S33,S33
server34,S34,S34
server35,S35,S35
server36,S36,S36
,,
clanMembers,Thành viên Bang,Thành viên Bang
NoMemberApply,Không có thành viên,Không có thành viên
ClanDailyBossLuotConLai,Tấn công: {0}/{1},Tấn công: {0}/{1}
ClanDailyBoss,MINH GIÁO CAO THỦ,BOSS BANG HỘI HÀNG NGÀY
INVITEFRIEND,Thêm hảo hữu,Thêm bạn
PM,Nhắn tin,Nhắn tin
LFORMATION,Đội hình,Đội hình
RequestAddFriendOk,Yêu cầu kết hảo hữu thành công!,Yêu cầu kết bạn thành công!
ADDFRIEND,Thêm hảo hữu,Thêm bạn
IsFighting,Chiến đấu,Chiến đấu
welcomeExB,Chào mừng {0} \n Giang hồ bắt đầu nổi sóng rồi!,Chào mừng {0} \n Dũng cảm lên cuộc phiêu lưu bắt đầu rồi!
SecretTreasue,BÍ CẢNH,KHO BÁU BÍ MÂT
ARENA,HOA SƠN LUẬN KIẾM,ĐẤU TRƯƠNG
TOWER,HẮC MỘC NHAI,THÁP
BOUNTYBOARD,CÁO THỊ,BẢNG NHIỆM VỤ
TRADER,THƯƠNG THÀNH,MUA BÁN
SUPPORTTEAM,TƯƠNG TRỢ HẢO HỮU,HỖ TRỢ LIÊN MINH
TEMPLE,ĐỆ TỬ ĐƯỜNG,THẦN ĐiỆN
GREATHALL,ĐẠI ĐIỆN,ĐẠI SẢNH
PENTAGRAM,HỘ PHÁP ĐƯỜNG,NGŨ GIÁC TINH
SUMMONERGATE,TỬU ĐIẾM,CỔNG TRIỆU HỒI
OPEN_THE_GATE,KHAI MỞ,MỞ CỔNG
SUPPORTTEAM_Hint,Hãy chọn đội hỗ trợ để tăng cường cho Đệ Tử,Hãy chọn đội hỗ trợ để tăng cường cho Anh Hùng
SureRequestManhSecretFromFriend,Chưởng Môn muốn xin món này từ bang hội?,Bạn muốn xin món này từ bạn bè?
SECRETMAPNAME,Chương bí mật,Chương bí mật
SecretMapRewardMoc1Desc,Tăng thêm {0} lượt khiêu chiến với Thủ Hộ Giả của Bí Cảnh,Tăng {0} sức Tấn Công khi khai chiến với thủ vệ Kho Báu Bí Mật của Hầm Mộ Linh Thiêng
SecretMapRewardMoc2Desc,Tăng {0}% Sinh Lực khi khai chiến với Thủ Hộ Giả của Bí Cảnh,Tăng {0}% HP khi khai chiến với thủ vệ Kho Báu Bí Mật của Hầm Mộ Linh Thiêng
SecretMapRewardMoc3Desc,Tăng {0}% Sức Tấn Công khi khai chiến với Thủ Hộ Giả của Bí Cảnh,Tăng {0}% ATK khi khai chiến với thủ vệ Kho Báu Bí Mật của Hầm Mộ Linh Thiêng
SecretMapRewardMoc4Desc,Vị Trí Bí Cảnh,Vị Trí Hầm Mộ
SecretMapRewardMoc5Desc,Tăng thêm {0} lượt khiêu chiến với Thủ Hộ Giả của Bí Cảnh,Tăng thêm {0} khi khai chiến với thủ vệ Kho Báu Bí Mật của Hầm Mộ Linh Thiêng
SKIP,BỎ QUA,BỎ QUA
BountyFriendHero,Đệ tử của Hảo Hữu,Anh Hùng bạn bè
GlobalChat,Thế Giới,Toàn cầu
ClanChat,Bang Hội,Bang
LKReachNewPosition,Nhận vị trí mới,Nhận vị trí mới:
SkyTowerFloor0,Chưởng Môn chưa công phá Hắc Mộc Nhai,Bạn chưa chơi phụ bản Tháp
CAMPAIGN_PROGRESS_CHAPTER_DESC,Cao Thủ đầu tiên trong máy chủ vượt [ffee00]{0}[-],Người chơi đầu tiên trong server vượt [ffee00]{0}[-]
SKY_TOWER_PROGRESS_HANG_DESC,Cao Thủ đầu tiên trong máy chủ công phá tầng [ffee00]{0}[-],Người chơi đầu tiên trong server leo lên tầng [ffee00]{0}[-]
,,
SureInviteToClan,Chắc chắn mời {0} vào Bang?,Chắc chắn mời {0} vào Bang?
InviteToClanSuccess,Mời thành công!,Mời thành công!
QUEST_TopPvP0,Đạt Thanh Đồng - Luận Kiếm,Đạt Đồng - III Đấu Trường
QUEST_TopPvP1,Đạt Bạch Kim - Luận Kiếm,Đạt Bạch Kim - II Đấu Trường
QUEST_TopPvP2,Đạt Đại Cao Thủ - Luận Kiếm,Đạt Bậc Thầy Đấu Trường
QUEST_TopPvP3,Đạt Huyền Thoại - Luận Kiếm,Đạt Huyền Thoại Đấu Trường
QUEST_TopPvP4,Đạt Truyền Thuyết - Luận Kiếm,Đạt Siêu Huyền Thoại Đấu Trường
QUEST_TopPvP5,Đạt Thái Cổ - Luận Kiếm,Đạt Nhà Vô Địch Đấu Trường
QUEST_TopPvP6,Đạt Top 1 Thái Cổ - Luận Kiếm,Đạt Top 1 Nhà Vô Địch Đấu Trường
BountyBoardHelp,"1. Mỗi đệ tử chỉ có thể dùng cho một Cáo Thị trong cùng một thời điểm. Chưởng Môn vẫn có thể sử dụng đệ tử ở mọi tính năng khác khi đệ tử đang làm nhiệm vụ Cáo Thị. Khi nhiệm vụ hoàn thành, Chưởng Môn sẽ nhận được phần thưởng. \n 2. Cáo Thị Bang Hội yêu cầu Chưởng Môn sử dụng đệ tử của hảo hữu hoặc thành viên khác trong bang hội để thực hiện.\n 3. Cáo Thị sẽ được làm mới mỗi ngày.","1. A Hero can be used in only one mission at a time. However, the Hero is not lost and can still be used elsewhere. Claim your reward once their mission is complete.\n2. Alliance missions require a friend or clanmate’s Hero to complete.\n3. The Mission Board resets once a day."
BAC,Ngân Lượng,
KNB,Kim Nguyên Bảo,
EXP,Chân Nguyên,
BAC_des,"Ngân Lượng, đơn vị tiền tệ thông dụng","Đơn vị tiền tệ chung của cả lục địa Lynea, dùng để mua trang bị, nâng cấp độ của trang bị và tướng..."
EXP_des,"Chân Nguyên, sử dụng để thăng cấp cho Đệ Tử",Điểm kinh nghiệm của tướng. Dùng để nâng cấp độ
KNB_des,"Kim Nguyên Bảo, đơn vị tiền tệ cao cấp","Linh hồn anh hùng, dùng để nâng cấp độ của các anh hùng"
PLAYER_EXP,Kinh nghiệm môn phái,Player's experience points.
PLAYER_EXP_des,Môn phái của Chưởng Môn sẽ tự lên cấp khi đạt đủ điểm Kinh Nghiệm,Điểm kinh nghiệm của người chơi. Cấp độ của người chơi tự động tăng khi đạt đủ điểm kinh nghiệm tương ứng
VIP_POINT,Điểm VIP,VIP Points.
VIP_POINT_des,Điểm VIP. Cấp VIP của Chưởng Môn tự động tăng khi đạt đủ điểm tương ứng. Điểm VIP có được khi mua các vật phẩm hoặc thăng cấp độ của Môn Phái,Điểm VIP. Cấp VIP của người chơi tự động tăng khi đạt đủ điểm tương ứng. Điểm VIP có được khi mua các vật phẩm hoặc thăng cấp độ của người chơi
TOKEN_Honor,Cống Hiến,Honor Points
TOKEN_Honor_des,Điểm cống hiến. Có được thông qua hoàn thành các chuỗi nhiệm vụ. Dùng để mua một số vật phẩm,Điểm cống hiến. Có được thông qua hoàn thành các chuỗi nhiệm vụ. Dùng để mua một số vật phẩm
TOKEN_PVP,Danh Vọng,PvP Points
TOKEN_PVP_des,Điểm danh vọng. Có được thông qua hoạt động luận kiếm. Dùng để mua một số vật phẩm,Điểm danh vọng. Có được thông qua hoạt động luận kiếm. Dùng để mua một số vật phẩm
HIGHFIVE,Phúc Duyên,Hi5
HIGHFIVE_des,Điểm phúc duyên. Có được khi tương tác với hảo hữu. Dùng để chiêu mộ tướng,Điểm thân thiện. Có được khi tương tác với bạn bè. Dùng để chiêu mộ tướng
TOKEN_Daily,Điểm Hoạt Động Ngày,Daily Points
TOKEN_Daily_des,"Điểm hoạt động hàng ngày. Có được thông qua hoàn thành nhiệm vụ hàng ngày, dùng để đổi quà ở các mốc tương ứng","Điểm hoạt động hàng ngày. Có được thông qua hoàn thành nhiệm vụ hàng ngày, dùng để đổi quà ở các mốc tương ứng"
TOKEN_Weekly,Điểm Hoạt Động Tuần,Weekly Points
TOKEN_Weekly_des,"Điểm hoạt động hàng tuần. Có được thông qua hoàn thành nhiệm vụ hàng tuần, dùng để đổi quà ở các mốc tương ứng","Điểm hoạt động hàng tuần. Có được thông qua hoàn thành nhiệm vụ hàng tuần, dùng để đổi quà ở các mốc tương ứng"
TOWER_PROGRESSION,TIẾN TRÌNH HẮC MỘC NHAI,TiẾN TRÌNH VƯỢT THÁP
SManhAmount,([ffee00]x{0}[-]),([ffee00]x{0}[-])
UReward,THƯỞNG,THƯỞNG
UEMPTY,TRỐNG!,TRỐNG!
CAMPAIGN_PROGRESSION,TiẾN TRÌNH GIANG HỒ,TiẾN TRÌNH CHIẾN DỊCH
SureCollect,Chắc chắn thu thập phần thưởng này?,Chắc chắn thu thập phần thưởng này?
URanking,THỨ HẠNG,THỨ HẠNG
UnlockProgress,Hoàn Thành Chương {0} để mở khóa,Hoàn Thành Chương {0} để mở khóa
UnlockStoreProgress,Tìm Thương Nhân Thần Bí tại Thành Đại Lý để mở khóa,Tìm Thương Nhân Thần Bí để mở khóa
QUEST_DailyCampaign,Đánh {0} trận Giang Hồ,Đánh {0} trận campaign
QUEST_DailyTower,Đánh {0} trận Hắc Mộc Nhai,Đánh {0} trận leo tháp
QUEST_DailyPvP,Đánh {0} trận Luận Kiếm,Đánh {0} trận Đấu trường
QUEST_DailyAFK,Nhận thưởng từ Đại Điện {0} lần,Nhận thưởng AFK {0} lần(s)
QUEST_DailyLvlUpHero,Nâng cấp Đệ Tử {0} lần,Nâng cấp Anh Hùng {0} lần (s)
QUEST_DailyLvlUpGear,Nâng cấp Trang Bị {0} lần,Nâng cấp Trang Bị {0} lần (s)
QUEST_DailyRoll,Chiêu mộ {0} Đệ Tử,Triệu hồi {0} Anh Hùng
QUEST_DailyFastReward,Nhận {0} lần tài nguyên Tu Luyện,Nhận {0} lần Thưởng Tức Thời
QUEST_DailyFriend,Đập tay với {0} Hảo Hữu,Đập tay với {0} Bạn bè
QUEST_DailyBounty,Thực hiện {0} nhiệm vụ Cáo Thị,Thực hiện {0} nhiệm vụ
QUEST_DailyClan,Đánh Minh Giáo Cao Thủ trong Bang {0} lần,Đánh boss bang hàng ngày {0} lần
QUEST_DailyUseKNB,Tiêu tốn {0} KNB,
QUEST_DailyRankUpHero,Nâng phẩm {0} Đệ Tử,
QUEST_WeeklyPvPWin,Đánh {0} trận tại Luận Kiếm,Đánh {0} trận tại Đấu Trường
QUEST_WeeklyLvlUpGear,Nâng cấp trang bị {0} lần,Nâng cấp trang bị {0} lần
QUEST_WeeklyAlliance,Thực hiện {0} Nhiệm vụ Liên Minh,Thực hiện {0} Nhiệm vụ Liên Minh
QUEST_WeeklyRoll,Chiêu mộ {0} Đệ Tử,Triệu hồi {0} Anh Hùng
QUEST_WeeklyStore,Mua {0} vật phẩm từ cửa hàng,Mua {0} vật phẩm từ cửa hàng
QUEST_WeeklyPvPStore,Mua {0} Vật phẩm từ cửa hàng Danh Vọng,Mua {0} Vật phẩm từ cửa hàng PVP
QUEST_WeeklyGuildStore,Mua {0} Vật phẩm từ cửa hàng Bang Hội,Mua {0} Vật phẩm từ cửa hàng Bang Hội
QUEST_WeeklyAscend,Nâng phẩm {0} Đệ Tử,Nâng phẩm {0} Anh hùng
QUEST_WeeklyFinisher,Hoàn thành {0} nhiệm vụ hàng ngày,Hoàn thành {0} nhiệm vụ hàng ngày
QUEST_WeeklyUseKNB,Tiêu tốn {0} KNB,
QUEST_HeroCollector,Sưu tập {0} Đệ Tử,Thu thập {0} Anh Hùng
QUEST_HeroLvlUp,Đệ Tử đạt cấp {0} ,Nâng cấp Anh Hùng {0} lần
QUEST_PlayerLvl,Lên cấp Môn Phái {0},Lên cấp người chơi {0}
QUEST_PentagramLvl,Nâng Hộ Pháp Đường lên cấp {0},Nâng Ngũ Giác Đài lên cấp {0}
QUEST_PvPWin,Thắng {0} trận Luận Kiếm,Thắng{0} PvP
QUEST_AFKGoldCollector,Thu thập Ngân Lượng từ Đại Điện: {0} ,Thu thập {0} AFK Vàng
QUEST_TowerLvl,Phá Hắc Mộc Nhai tới Ải {0},Leo tháp tới tầngl {0}
QUEST_Campaign,Hoàn tất Chương {0},Hoàn tất Chương {0}
,,
ChallengePass_des,Bùa để tấn công Thủ Hộ Giả của Bí Cảnh. Mỗi lần tấn công sẽ tốn 01 bùa.,Bùa để tấn công Thủ Vệ bảo hộ Kho báu hầm mộ linh thiêng. Mỗi lần tấn công sẽ tốn 01 bùa.
SacredTombTitle,Tàng Bảo Đồ,Bản đồ bí mật
SacredTombContent,Tàng Bảo Đồ dẫn đến Bí Cảnh. Để tìm thấy vị trí Bí Cảnh hãy thu thập những mảnh còn thiếu của bản đồ. Khi đã thu thập được hơn 50% số mảnh của bản đồ cánh cửa Bí Cảnh sẽ mở ra ở một nơi nào đó. Đánh bại các thủ hộ và giành lấy báu vật trong Bí Cảnh.,Bản đồ bí mật dẫn bạn tới hầm mộ bị lãng quên của các Hiệp Sĩ Thánh. Để tìm thấy vị trí hầm mộ hãy thu thập những mảnh còn thiếu của bản đồ. Khi đã thu thập được hơn 50% số mảnh của bản đồ cánh cửa hầm mộ sẽ mở ra ở một nơi nào đó. Linh hồn của Hiệp Sĩ Thánh sẽ ban phước cho ai ghép đủ được bản đồ họ để lại. Đánh bại các thủ hộ và giành lấy báu vật trong hầm mộ.
RiftPoint_des,"Điểm tích lũy từ thành viên Bang khi làm xong mỗi nhiệm vụ, tác dụng khi triệu hồi Cao Thủ Giang Hồ, mở xong sẽ trở về 0","Điểm tích lũy từ thành viên Bang khi làm xong mỗi quest, tác dụng khi cần mở Khe Nứt Hỗn Mang, mở xong sẽ reset về 0"
ClanPoin_des,"Điểm tích lũy khi làm nhiệm vụ, đủ sẽ lên cấp độ của bang hội","Điểm tích lũy khi làm quest, đủ sẽ lên cấp độ của bang hội"
ChienLuc_des,Chiến lực của đội hình hiện tại,Chiến lực của đội hình hiện tại
LuanKiemTitle,Hoa Sơn Luận Kiếm,Đấu trường
LuanKiemDesc,Tham gia Luận Kiếm để giành Danh Vọng. Thứ hạng cao càng giành được nhiều điểm. Mỗi lần đánh sẽ tốn một vé tham dự Hoa Sơn Luận Kiếm.,Tham gia Đấu trường để giành điểm PVP. Thứ hạng cao càng giành được nhiều điểm. Mỗi lần đánh sẽ tốn một vé tham dự Đấu Trường.
,,
A1_des,Mảnh : A1. Một mảnh nằm trong Bản đồ bí mật.,Mảnh : A1. Một mảnh nằm trong Bản đồ bí mật.
A2_des,Mảnh : A2. Một mảnh nằm trong Bản đồ bí mật.,Mảnh : A2. Một mảnh nằm trong Bản đồ bí mật.
A3_des,Mảnh : A3. Một mảnh nằm trong Bản đồ bí mật.,Mảnh : A3. Một mảnh nằm trong Bản đồ bí mật.
A4_des,Mảnh : A4. Một mảnh nằm trong Bản đồ bí mật.,Mảnh : A4. Một mảnh nằm trong Bản đồ bí mật.
A5_des,Mảnh : A5. Một mảnh nằm trong Bản đồ bí mật.,Mảnh : A5. Một mảnh nằm trong Bản đồ bí mật.
B1_des,Mảnh : B1. Một mảnh nằm trong Bản đồ bí mật.,Mảnh : B1. Một mảnh nằm trong Bản đồ bí mật.
B2_des,Mảnh : B2. Một mảnh nằm trong Bản đồ bí mật.,Mảnh : B2. Một mảnh nằm trong Bản đồ bí mật.
B3_des,Mảnh : B3. Một mảnh nằm trong Bản đồ bí mật.,Mảnh : B3. Một mảnh nằm trong Bản đồ bí mật.
B4_des,Mảnh : B4. Một mảnh nằm trong Bản đồ bí mật.,Mảnh : B4. Một mảnh nằm trong Bản đồ bí mật.
B5_des,Mảnh : B5. Một mảnh nằm trong Bản đồ bí mật.,Mảnh : B5. Một mảnh nằm trong Bản đồ bí mật.
C1_des,Mảnh : C1. Một mảnh nằm trong Bản đồ bí mật.,Mảnh : C1. Một mảnh nằm trong Bản đồ bí mật.
C2_des,Mảnh : C2. Một mảnh nằm trong Bản đồ bí mật.,Mảnh : C2. Một mảnh nằm trong Bản đồ bí mật.
C3_des,Mảnh : C3. Một mảnh nằm trong Bản đồ bí mật.,Mảnh : C3. Một mảnh nằm trong Bản đồ bí mật.
